"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","User Management","4","0","Create user","0"
"0","","0","User Management","1","0","Get all users","0"
"0","","0","Keycloak OAuth2","2","0","Client Credentials Flow","0"
"0","","0","User Management","5","0","Get user by ID","0"
"0","","0","User Management","1","0","Authentication","0"
"0","","0","Mock User Management","1","0","Authentication","0"
"0","","0","Mock User Management","1","0","Get all users","0"
"0","","0","Mock User Management","2","0","Get user by ID","0"
"0","","1","Keycloak OAuth2","0","0","Token caching","0"
"0","","0","Mock User Management","1","0","Delete user","0"
"0","","0","Mock User Management","1","0","Update user","0"
"0","","0","User Management","1","0","Delete user","0"
"0","","0","User Management","1","0","Update user","0"
"0","","0","Mock User Management","1","0","Create user","0"
